Fuel Type Code,Station Name,Street Address,Intersection Directions,City,State,ZIP,Plus4,Station Phone,Status Code,Expected Date,Groups With Access Code,Access Days Time,Cards Accepted,BD Blends,NG Fill Type Code,NG PSI,EV Level1 EVSE Num,EV Level2 EVSE Num,EV DC Fast Count,EV Other Info,EV Network,EV Network Web,Geocode Status,Latitude,Longitude,Date Last Confirmed,ID,Updated At,Owner Type Code,Federal Agency ID,Federal Agency Name,Open Date,Hydrogen Status Link,NG Vehicle Class,LPG Primary,E85 Blender Pump,EV Connector Types,Country,Intersection Directions (French),Access Days Time (French),BD Blends (French),Groups With Access Code (French),Hydrogen Is Retail,Access Code,Access Detail Code,Federal Agency Code,Facility Type,CNG Dispenser Num,CNG On-Site Renewable Source,CNG Total Compression Capacity,CNG Storage Capacity,LNG On-Site Renewable Source,E85 Other Ethanol Blends,EV Pricing,EV Pricing (French),LPG Nozzle Types,Hydrogen Pressures,Hydrogen Standards,CNG Fill Type Code,CNG PSI,CNG Vehicle Class,LNG Vehicle Class,EV On-Site Renewable Source,Restricted Access,RD Blends,RD Blends (French),RD Blended with Biodiesel,RD Maximum Biodiesel Level,NPS Unit Name,CNG Station Sells Renewable Natural Gas,LNG Station Sells Renewable Natural Gas,Maximum Vehicle Class,EV Workplace Charging,Funding Sources
ELEC,Los Angeles Convention Center,1201 S Figueroa St,West hall and South hall,Los Angeles,CA,90015,,213-741-1151,E,,Public,5:30am-9pm; pay lot,,,,,,8,,,Non-Networked,,GPS,34.040539,-118.271387,2025-12-12,1523,2026-02-02 23:16:24 UTC,P,,,1995-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Galpin Motors,15421 Roscoe Blvd,,Sepulveda,CA,91343,,855-889-2811,E,,Public - Call ahead,Dealership business hours; customer use only,,,,,,2,,,Non-Networked,,200-9,34.221665,-118.468371,2025-06-06,6405,2026-02-02 23:16:24 UTC,P,,,2012-12-11,,,,,J1772,US,,,,Public - Appeler à l'avance,,public,CALL,,CAR_DEALER,,,,,,,Free,,,,,,,,,,true,,,,,,,,MD,false,
ELEC,Galleria at Tyler,1299 Galleria at Tyler,,Riverside,CA,92503,,951-351-3110,E,,Public,6am-12am daily,,,,,,4,,,Non-Networked,,GPS,33.909914,-117.459053,2023-09-14,6425,2025-05-16 15:00:13 UTC,P,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Pasadena - Holly Street Garage,150 E Holly St,,Pasadena,CA,91103,,626-744-7665,E,,Public,24 hours daily; pay lot,CREDIT,,,,,26,,,Non-Networked,,200-8,34.14762,-118.147111,2025-06-06,6505,2026-02-02 23:16:24 UTC,LG,,,2014-01-20,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Pasadena - De Lacey Garage,45 De Lacey Ave,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,CREDIT,,,,,3,,,Non-Networked,,GPS,34.145138,-118.152655,2025-06-06,6506,2026-02-02 23:16:24 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Pasadena - Schoolhouse Garage,33 E Green St,,Pasadena,CA,91105,,626-744-7665,E,,Public,24 hours daily; pay lot,CREDIT,,,,,3,,,Non-Networked,,GPS,34.145119,-118.150133,2025-06-06,6507,2026-02-02 23:16:24 UTC,LG,,,1997-08-30,,,,,J1772,US,,,,Public,,public,,,PARKING_GARAGE,,,,,,,"$1 for the first two hours, $2 each additional hour",,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Hyatt Regency Long Beach,200 S Pine Ave,,Long Beach,CA,90802,,562-491-1234,E,,Public,24 hours daily; pay lot; guest use only; see valet for access,,,,,,1,,,Non-Networked,,GPS,33.7637,-118.192,2025-06-06,7172,2026-02-02 23:16:24 UTC,P,,,2012-05-04,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Los Angeles International Airport (LAX) - Lot 6,1 World Way,Central Terminal Area (CTA) - P6,Los Angeles,CA,90045,,310-646-2911,E,,Public,24 hours daily; pay lot,,,,,,20,,,Non-Networked,,GPS,33.94325,-118.403342,2024-08-15,7184,2025-02-12 00:16:32 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,$2 service fee + $0.45 per kWh,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Courtyard Marriott - Oxnard Ventura,600 E Esplanade Dr,,Oxnard,CA,93030,,805-988-3600,E,,Public,24 hours daily; guest use only; 2 hour limit,,,,,,1,,,Non-Networked,,GPS,34.228315,-119.170865,2025-06-06,7195,2026-02-02 23:16:24 UTC,P,,,1998-05-30,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Hilton - Palm Springs,400 E Tahquitz Canyon Way,,Palm Springs,CA,92262,,760-320-6868,E,,Public,24 hours daily; pay lot; priority given to registered guests,,,,,,2,,,Non-Networked,,GPS,33.824004,-116.543589,2025-06-06,7196,2026-02-02 23:16:24 UTC,P,,,2011-12-12,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Inland Empire Foods,5425 Wilson St,,Riverside,CA,92509,,951-682-8222,E,,Public,8am-4:30pm M-F,,,,,,4,,,Non-Networked,,GPS,34.0189,-117.38,2025-06-06,7206,2026-02-02 23:16:24 UTC,P,,,1998-05-30,,,,,J1772 TESLA,US,,,,Public,,public,,,OFFICE_BLDG,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Sacramento International Airport - Daily A Lot,Lindbergh Dr,,Sacramento,CA,95837,,916-874-0670,E,,Public,24 hours daily; pay lot,,,,,,4,,,Non-Networked,,GPS,38.69005,-121.58889,2025-06-06,7212,2026-02-02 23:16:24 UTC,P,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,$12 parking fee,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,City of Santa Monica - Airport,3223 Donald Douglas Loop,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,34.017081,-118.44704,2023-01-10,7229,2023-02-14 15:54:11 UTC,LG,,,1998-06-30,,,,,J1772,US,,,,Public,,public,,,AIRPORT,,,,,,,Free,,,,,,,,,SOLAR,false,,,,,,,,LD,false,
ELEC,City of Santa Monica - Pier,200 Santa Monica Pier,,Santa Monica,CA,90405,,310-458-8516,E,,Public,24 hours daily; pay lot,,,,,,3,,,Non-Networked,,200-9,34.010021,-118.49583,2023-01-10,7230,2023-02-14 15:54:11 UTC,LG,,,2019-04-08,,,,,J1772,US,,,,Public,,public,,,MUNI_GOV,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Universal City Hilton,555 Universal Hollywood Dr,,Universal City,CA,91608,,818-506-2500,E,,Public - Call ahead,24 hours daily; pay lot; see valet for access; Drivers must bring their own J1772 cordset for Level 1 charging,,,,,1,10,,,Non-Networked,,200-8,34.13722,-118.35835,2024-07-11,7242,2025-02-12 00:16:32 UTC,P,,,1998-05-30,,,,,J1772 NEMA520,US,,,,Public - Appeler à l'avance,,public,CALL,,HOTEL,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Office Max - Home Depot,7075 Firestone Blvd,,Downey,CA,90241,,562-806-6600,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,33.94756,-118.153806,2024-07-11,7250,2025-02-12 00:16:32 UTC,T,,,1998-06-15,,,,,J1772,US,,,,Public,,public,,,SHOPPING_CENTER,,,,,,,Free,,,,,,,,,,false,,,,,,,,MD,false,
ELEC,Hyatt at Fisherman's Wharf,555 N Point St,,San Francisco,CA,94133,,415-563-1234,E,,Public,24 hours daily; for guest use only; see valet for access,A ANDROID_PAY APPLE_PAY CREDIT D Debit M V,,,,,1,,,Non-Networked,,GPS,37.80619,-122.4152,2026-02-13,7280,2026-02-13 16:34:38 UTC,P,,,1998-07-01,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,Free; parking fee,,,,,,,,,,true,,,,,,,,LD,false,
ELEC,Arden Fair Mall,1689 Arden Way,,Sacramento,CA,95815,,916-920-1167,E,,Public,24 hours daily,,,,,,4,,,Non-Networked,,200-8,38.599693,-121.427045,2025-06-06,7286,2026-02-02 23:16:24 UTC,P,,,2019-11-01,,,,,J1772,US,,,,Public,,public,,,SHOPPING_MALL,,,,,,,Free,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Palace Hotel,2 New Montgomery St,,San Francisco,CA,94105,,415-512-1111,E,,Public,24 hours daily,,,,,,2,,,Non-Networked,,GPS,37.78881,-122.401,2025-05-12,21358,2026-02-02 23:16:24 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,$10 per session,,,,,,,,,,false,,,,,,,,LD,false,
ELEC,Mark Hopkins InterContinental Hotel,999 California St,California at Mason,San Francisco,CA,94108,,415-392-3434,E,,Public,24 hours daily; for guest use only; see valet for access,,,,,,1,,,Non-Networked,,200-8,37.791791,-122.411265,2024-08-15,21360,2025-02-12 00:16:32 UTC,P,,,2002-01-31,,,,,J1772,US,,,,Public,,public,,,HOTEL,,,,,,,,,,,,,,,,,true,,,,,,,,LD,false,
